track_id,track_name,artist_name,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,popularity,streams,position,P,S,combined,sum_val
281tmNk46TBQS9ACYMLYyA,Dance The Night Away,TWICE,0.2871552438239229,0.106,0.711,0.861,4.4e-05,0.11199999999999999,0.8738996929375639,0.0924,0.422403553168414,0.78,0.0,1.0,60.0,26770.5,143.5,3,3,33,6.0
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,0.4055441787326732,0.349,0.511,0.5660000000000001,0.0,0.34,0.6968270214943704,0.2,0.20226075504828786,0.218,6.0,0.0,89.0,26216.0,151.0,3,3,33,6.0
28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),Eminem,0.5023216072943597,0.0692,0.904,0.7559999999999999,0.0,0.33899999999999997,0.8394677584442168,0.32,0.5644334555595723,0.342,10.0,1.0,69.0,26445.5,141.5,3,3,33,6.0
28Tv8zltFDr5wBCG3Pfky4,I Love You's,Hailee Steinfeld,0.3579045964815866,0.0262,0.682,0.7829999999999999,0.0,0.20600000000000002,0.7882497441146366,0.18,0.3507139906006301,0.32299999999999995,8.0,1.0,53.0,22640.0,191.0,4,4,44,8.0
28UMiBhn383n9S7GL4tsxD,"Because You Loved Me (Theme from ""Up Close and Personal"")",CÃ©line Dion,0.4733992943918392,0.314,0.614,0.466,0.0,0.099,0.5882906857727737,0.0327,0.4347466818158343,0.17800000000000002,1.0,1.0,74.0,30061.0,192.0,4,3,43,7.0
29QQoKCiBil8wTBeP1GDBm,Dynamite - Acoustic Remix,BTS,0.32162133431746753,0.0228,0.6559999999999999,0.889,7.56e-06,0.366,0.782558853633572,0.203,0.3961873160150802,0.575,1.0,0.0,63.0,33277.5,130.0,3,2,32,5.0
29fRTIKsJhLUJoldM89GZS,You Need To Calm Down,Taylor Swift,0.2682554550250012,0.00838,0.768,0.6779999999999999,0.0,0.0596,0.7633981576253837,0.0505,0.20950395083406495,0.706,2.0,1.0,10.0,109771.5,23.5,1,1,11,2.0
29uWfSrklmIxzRIqFFK9jj,Self,Khalid,0.38573780980671,0.44,0.618,0.693,0.759,0.10099999999999999,0.6698464687819856,0.33299999999999996,0.5900945101482207,0.439,1.0,0.0,57.0,27463.0,145.5,3,3,33,6.0
29xs643Q96uQLD8f7SxYYw,Sa'yo,Silent Sanctuary,0.43267138275532174,0.7959999999999999,0.5670000000000001,0.0896,0.0,0.218,0.4628863868986692,0.0343,0.1706218044724474,0.3670000000000001,5.0,1.0,61.0,28296.0,124.0,2,3,23,5.0
2A3CzmtFj1sK6W1qQtBz86,Huwag Mo Nang Itanong,Eraserheads,0.42459439565002,0.633,0.662,0.405,0.0,0.0938,0.2875332650972364,0.0267,0.2453971492020864,0.919,10.0,1.0,51.0,23361.0,150.0,3,4,34,7.0
2AIWoHr9DF6y4KALCBKWQS,IDOL,BTS,0.3712405506070277,0.00481,0.7340000000000001,0.855,0.0,0.12300000000000001,0.8613715455475945,0.11800000000000001,0.4742485668543097,0.42200000000000004,9.0,1.0,76.0,29164.0,120.0,2,3,23,5.0
2ARqIya5NAuvFVHSN3bL0m,The Middle,Zedd,0.29502363727167524,0.20800000000000002,0.748,0.652,0.0,0.128,0.8691914022517909,0.057999999999999996,0.3508108247688891,0.431,7.0,1.0,4.0,151553.0,5.0,1,1,11,2.0
2ATlxy4UImFBJlHFQMSAst,Norem,Shanti Dope,0.4949004867853912,0.045,0.682,0.8079999999999999,1.35e-06,0.109,0.6939201637666325,0.0428,0.6163753034137274,0.46399999999999997,9.0,0.0,49.0,20741.0,193.0,4,4,44,8.0
2B7oyUTr2pCsUqPy4bgiYB,"fuck, i'm lonely - from â13 Reasons Why: Season 3â",Lauv,0.3235869283982213,0.48200000000000004,0.8059999999999999,0.5579999999999999,0.0,0.0618,0.7283520982599794,0.0683,0.27400196250581005,0.6779999999999999,9.0,1.0,5.0,39394.0,110.0,2,2,22,4.0
2B8ThVsaxp4aFeY5GnKNhS,Heartbeats,Andrea Babierra,0.455460239842592,0.715,0.62,0.42,0.00941,0.111,0.531136131013306,0.0283,0.5382043071838041,0.32,8.0,1.0,0.0,21150.0,194.0,4,4,44,8.0
2BNkTvg1kHAAfGvqh56x5a,Getting Over You,Lauv,0.43773579607563134,0.273,0.604,0.507,2.27e-06,0.0943,0.6682497441146366,0.0382,0.2544285492950472,0.114,0.0,1.0,0.0,75597.0,32.0,1,1,11,2.0
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,0.4465609123565669,0.8390000000000001,0.682,0.17300000000000001,3.26e-05,0.0983,0.6346366427840326,0.0314,0.3879241336569746,0.23600000000000002,1.0,1.0,82.0,24813.0,194.0,4,4,44,8.0
